연번,시도명,시군구명,법정동명,관리번호,시설물명,세부위치,위도,경도,데이터기준일자,이미지명,비고
408,경기도,성남시 분당구,판교동,성남-rtbs-262,신호등,낙원중학교 앞,37.399123,127.095466,2022.10.20,성남-rtbs-262-01.jpeg,
409,경기도,성남시 분당구,판교동,성남-rtbs-263,신호등,낙생초등학교 근방,37.394581,127.098278,2022.10.17,성남-rtbs-263-01.jpeg,
410,경기도,성남시 분당구,판교동,성남-rtbs-263,CCTV,낙생초등학교 근방,37.394591,127.098284,2022.10.17,성남-rtbs-263-02.jpeg,
411,경기도,성남시 분당구,판교동,성남-rtbs-265,신호등,봄볕어린이공원 앞,37.398204,127.096493,2022.10.20,성남-rtbs-265-01.jpeg,
412,경기도,성남시 분당구,판교동,성남-rtbs-266,신호등,낙생빌딩 앞,37.399752,127.094998,2022.10.20,성남-rtbs-266-01.jpeg,
413,경기도,성남시 분당구,판교동,성남-rtbs-266,가로등,낙생빌딩 앞,37.399734,127.095013,2022.10.20,성남-rtbs-266-02.jpeg,
414,경기도,성남시 분당구,판교동,성남-rtbs-267,신호등,판교원마을6단지 입구,37.387656,127.089651,2022.10.17,성남-rtbs-267-01.jpeg,
415,경기도,성남시 분당구,판교동,성남-rtbs-267,가로수,판교원마을6단지 입구,37.387631,127.089642,2022.10.17,성남-rtbs-267-02.jpeg,
416,경기도,성남시 분당구,판교동,성남-rtbs-268,신호등,판교원마을3단지 입구,37.387711,127.086825,2022.10.17,성남-rtbs-268-01.jpeg,
417,경기도,성남시 분당구,판교동,성남-rtbs-269,신호등,판교원마을 13단지 근방,37.401614,127.093531,2022.10.20,성남-rtbs-269-01.jpeg,
418,경기도,성남시 분당구,판교동,성남-rtbs-269,CCTV,판교원마을 13단지 근방,37.401596,127.093544,2022.10.20,성남-rtbs-269-02.jpeg,
419,경기도,성남시 중원구,상대원동,성남-rtbs-270,이정표,학년쇼핑 앞,37.440339,127.162617,2022.10.20,성남-rtbs-270-01.jpeg,
420,경기도,성남시 중원구,상대원동,성남-rtbs-270,그늘막,학년쇼핑 앞,37.440328,127.162602,2022.10.20,성남-rtbs-270-02.jpeg,
421,경기도,성남시 중원구,상대원동,성남-rtbs-271,신호등,해오름동물병원 좌측 건너편,37.441122,127.160038,2022.10.17,성남-rtbs-271-01.jpeg,
422,경기도,성남시 분당구,판교동,성남-rtbs-272,신호등,너른들어린이공원 근방,37.390631,127.099837,2022.10.17,성남-rtbs-272-01.jpeg,
423,경기도,성남시 분당구,판교동,성남-rtbs-273,신호등,불꽃교회 앞,37.396308,127.098097,2022.10.20,성남-rtbs-273-01.jpeg,
424,경기도,성남시 분당구,판교동,성남-rtbs-274,신호등,분당판교아이사랑놀이터 앞,37.391344,127.090934,2022.10.17,성남-rtbs-274-01.jpeg,
425,경기도,성남시 분당구,판교동,성남-rtbs-275,신호등,동물병원돌봄 맞은편,37.400072,127.094511,2022.10.20,성남-rtbs-275-01.jpeg,
426,경기도,성남시 분당구,판교동,성남-rtbs-276,신호등,판교연세의원 앞,37.389383,127.089969,2022.10.17,성남-rtbs-276-01.jpeg,
427,경기도,성남시 분당구,판교동,성남-rtbs-277,신호등,열린하늘문교회 앞,37.389311,127.090268,2022.10.17,성남-rtbs-277-01.jpeg,
428,경기도,성남시 분당구,판교동,성남-rtbs-277,가로수,열린하늘문교회 앞,37.389261,127.090209,2022.10.17,성남-rtbs-277-02.jpeg,
429,경기도,성남시 중원구,성남동,성남-rtbs-278,가로등,세계과자할인점 모란점 앞,37.432742,127.129352,2022.10.21,성남-rtbs-278-01.jpeg,
430,경기도,성남시 중원구,성남동,성남-rtbs-278,가로수,세계과자할인점 모란점 앞,37.432801,127.129425,2022.10.21,성남-rtbs-278-02.jpeg,
431,경기도,성남시 중원구,상대원동,성남-rtbs-279,전신주,대교공인중개사 앞,37.439931,127.159329,2022.10.17,성남-rtbs-279-01.jpeg,
432,경기도,성남시 중원구,상대원동,성남-rtbs-280,신호등,우리은행 앞,37.434807,127.170534,2022.10.21,성남-rtbs-280-01.jpeg,
433,경기도,성남시 중원구,상대원동,성남-rtbs-280,가로수,우리은행 앞,37.434839,127.170503,2022.10.21,성남-rtbs-280-02.jpeg,
434,경기도,성남시 중원구,상대원동,성남-rtbs-280,전봇대,우리은행 앞,37.434877,127.170497,2022.10.21,성남-rtbs-280-03.jpeg,
435,경기도,성남시 중원구,상대원동,성남-rtbs-280,CCTV,우리은행 앞,37.434893,127.170497,2022.10.21,성남-rtbs-280-04.jpeg,
436,경기도,성남시 중원구,상대원동,성남-rtbs-280,가로수,우리은행 앞,37.434909,127.170509,2022.10.21,성남-rtbs-280-05.jpeg,
437,경기도,성남시 중원구,상대원동,성남-rtbs-280,신호등,우리은행 앞,37.43494,127.17052,2022.10.21,성남-rtbs-280-06.jpeg,
438,경기도,성남시 중원구,상대원동,성남-rtbs-280,전봇대,우리은행 앞,37.434954,127.170528,2022.10.21,성남-rtbs-280-07.jpeg,
439,경기도,성남시 중원구,상대원동,성남-rtbs-280,가로수,우리은행 앞,37.434976,127.170585,2022.10.21,성남-rtbs-280-08.jpeg,
440,경기도,성남시 중원구,상대원동,성남-rtbs-280,신호등,우리은행 앞,37.434987,127.170613,2022.10.21,성남-rtbs-280-09.jpeg,
441,경기도,성남시 중원구,상대원동,성남-rtbs-281,신호등,성남SK V1타워,37.43951,127.172638,2022.10.25,성남-rtbs-281-01.jpeg,
442,경기도,성남시 수정구,금토동,성남-rtbs-282,가로등,GS25 앞 횡단보도,37.408759,127.096111,2022.10.19,성남-rtbs-282-01.jpeg,
443,경기도,성남시 수정구,금토동,성남-rtbs-282,신호등,GS25 앞 횡단보도,37.408757,127.096086,2022.10.19,성남-rtbs-282-02.jpeg,
444,경기도,성남시 수정구,복정동,성남-rtbs-286,나무,테리 앤 키친 앞,37.456414,127.127485,2022.10.28,성남-rtbs-286-01.jpeg,
445,경기도,성남시 수정구,복정동,성남-rtbs-286,나무,테리 앤 키친 앞,37.456438,127.127429,2022.10.28,성남-rtbs-286-02.jpeg,
446,경기도,성남시 수정구,복정동,성남-rtbs-286,가로등,테리 앤 키친 앞,37.456447,127.127415,2022.10.28,성남-rtbs-286-03.jpeg,
447,경기도,성남시 수정구,단대동,성남-rtbs-287,신호등,진로마트 앞,37.451401,127.157706,2022.10.25,성남-rtbs-287-01.jpeg,
448,경기도,성남시 중원구,상대원동,성남-rtbs-288,성남하이테크밸리 표지판,크란츠테크노 앞,37.433162,127.159871,2022.10.27,성남-rtbs-288-01.jpeg,
449,경기도,성남시 중원구,상대원동,성남-rtbs-288,신호등,크란츠테크노 앞,37.433155,127.159899,2022.10.27,성남-rtbs-288-02.jpeg,
450,경기도,성남시 중원구,상대원동,성남-rtbs-289,신호등,우림라이온벨리5차,37.441221,127.171608,2022.10.25,성남-rtbs-289-01.jpeg,
451,경기도,성남시 중원구,상대원동,성남-rtbs-289,신호등,우림라이온벨리5차,37.441273,127.171591,2022.10.25,성남-rtbs-289-02.jpeg,
452,경기도,성남시 수정구,단대동,성남-rtbs-290,신호등,단대파출소 앞,37.452471,127.158208,2022.10.25,성남-rtbs-290-01.jpeg,
453,경기도,성남시 중원구,상대원동,성남-rtbs-292,그늘막,영영상점 앞,37.437631,127.159656,2022.10.20,성남-rtbs-292-01.jpeg,
454,경기도,성남시 중원구,상대원동,성남-rtbs-293,가로등,은하당 앞,37.437818,127.159563,2022.10.20,성남-rtbs-293-01.jpeg,
455,경기도,성남시 중원구,상대원동,성남-rtbs-293,신호등,은하당 앞,37.437767,127.159523,2022.10.20,성남-rtbs-293-02.jpeg,
456,경기도,성남시 중원구,상대원동,성남-rtbs-294,전봇대,이성범베이커리 앞,37.441689,127.16412,2022.10.20,성남-rtbs-294-01.jpeg,
457,경기도,성남시 중원구,상대원동,성남-rtbs-294,신호등,이성범베이커리 앞,37.441677,127.164103,2022.10.20,성남-rtbs-294-02.jpeg,
458,경기도,성남시 수정구,단대동,성남-rtbs-296,신호등,서가네집밥앞,37.450976,127.158813,2022.10.20,성남-rtbs-296-01.jpeg,
459,경기도,성남시 수정구,단대동,성남-rtbs-297,신호등,수원지방검찰청 성남지청 앞,37.452248,127.159954,2022.10.20,성남-rtbs-297-01.jpeg,
460,경기도,성남시 수정구,단대동,성남-rtbs-298,카메라,다인세무회계 앞,37.447204,127.154849,2022.10.20,성남-rtbs-298-01.jpeg,
461,경기도,성남시 수정구,단대동,성남-rtbs-300,전봇대,진로아파트 앞,37.451499,127.156822,2022.10.25,성남-rtbs-300-01.jpeg,
462,경기도,성남시 수정구,단대동,성남-rtbs-300,신호등,진로아파트 앞,37.451499,127.156844,2022.10.25,성남-rtbs-300-02.jpeg,
463,경기도,성남시 중원구,금광동,성남-rtbs-301,전봇대,신구대 후문,37.448761,127.166508,2022.10.17,성남-rtbs-301-01.jpeg,
464,경기도,성남시 수정구,복정동,성남-rtbs-302,나무,리치타운2오피스텔 앞,37.456272,127.127248,2022.10.28,성남-rtbs-302-01.jpeg,
465,경기도,성남시 수정구,복정동,성남-rtbs-302,나무,리치타운2오피스텔 앞,37.456238,127.127253,2022.10.28,성남-rtbs-302-02.jpeg,
466,경기도,성남시 수정구,복정동,성남-rtbs-302,가로등,리치타운2오피스텔 앞,37.456222,127.127256,2022.10.28,성남-rtbs-302-03.jpeg,
467,경기도,성남시 수정구,복정동,성남-rtbs-304,교통표지판,청림빌딩 앞,37.465634,127.126551,2022.10.24,성남-rtbs-304-01.jpeg,
468,경기도,성남시 수정구,복정동,성남-rtbs-304,신호등,청림빌딩 앞,37.465659,127.126552,2022.10.24,성남-rtbs-304-02.jpeg,
469,경기도,성남시 중원구,금광동,성남-rtbs-305,전신주,파리바게뜨 성남금광점 맞은편,37.445115,127.161826,2022.10.19,성남-rtbs-305-01.jpeg,
470,경기도,성남시 중원구,금광동,성남-rtbs-305,신호등,전신주 우측,37.44512,127.16184,2022.10.19,성남-rtbs-305-02.jpeg,
471,경기도,성남시 중원구,금광동,성남-rtbs-306,전봇대,황송894공인중개사 맞은편,37.445305,127.16834,2022.10.17,성남-rtbs-306-01.jpeg,
472,경기도,성남시 중원구,금광동,성남-rtbs-306,전봇대,황송894공인중개사 맞은편,37.445309,127.168368,2022.10.17,성남-rtbs-306-02.jpeg,
473,경기도,성남시 중원구,도촌동,성남-rtbs-308,가로등,여수촌1교 입구,37.416984,127.149963,2022.10.18,성남-rtbs-308-01.jpeg,
474,경기도,성남시 중원구,도촌동,성남-rtbs-308,가로등,여수촌1교 입구,37.416981,127.150003,2022.10.18,성남-rtbs-308-02.jpeg,
475,경기도,성남시 수정구,사송동,성남-rtbs-309,신호등,성남시민버스 입구,37.415223,127.114806,2022.10.19,성남-rtbs-309-01.jpeg,
476,경기도,성남시 수정구,사송동,성남-rtbs-309,가로등,성남시민버스 입구,37.415237,127.114752,2022.10.19,성남-rtbs-309-02.jpeg,
477,경기도,성남시 중원구,도촌동,성남-rtbs-310,가로등,동분당KCC스위첸파티오2단지 203동 맞은편,37.413792,127.158401,2022.10.18,성남-rtbs-310-01.jpeg,
478,경기도,성남시 중원구,도촌동,성남-rtbs-310,가로등,동분당KCC스위첸파티오2단지 203동 맞은편,37.413756,127.158351,2022.10.18,성남-rtbs-310-02.jpeg,
479,경기도,성남시 중원구,도촌동,성남-rtbs-310,안전주의천막,동분당KCC스위첸파티오2단지 203동 맞은편,37.413771,127.158351,2022.10.18,성남-rtbs-310-03.jpeg,
480,경기도,성남시 수정구,산성동,성남-rtbs-312,가로수,성남북초등학교 앞,37.450943,127.151379,2022.10.26,성남-rtbs-312-01.jpeg,
481,경기도,성남시 수정구,산성동,성남-rtbs-312,가로등,성남북초등학교 앞,37.450937,127.151387,2022.10.26,성남-rtbs-312-02.jpeg,
482,경기도,성남시 수정구,산성동,성남-rtbs-312,CCTV,성남북초등학교 앞,37.450948,127.151404,2022.10.26,성남-rtbs-312-03.jpeg,
483,경기도,성남시 수정구,산성동,성남-rtbs-312,전신주,성남북초등학교 앞,37.45095,127.151407,2022.10.26,성남-rtbs-312-04.jpeg,
